DatasetName,TableName,FieldName,DataType,Description,Comments
FluNet,VIW_FNT,BVIC_DELUNK,integer,Number of B (Victoria lineage) detections (deletions unknown),Number of specimens in which influenza virus antigen was detected with any kind of method; to be reported for year and week when the sample was taken.
FluNet,VIW_FNT,BVIC_NODEL,integer,Number of B (Victoria lineage) detections (deletions not specified),Number of specimens in which influenza virus antigen was detected with any kind of method; to be reported for year and week when the sample was taken.
FluNet,VIW_FNT,BYAM,integer,Number of B (Yamagata lineage) detections,Number of specimens in which influenza virus antigen was detected with any kind of method; to be reported for year and week when the sample was taken.
FluNet,VIW_FNT,BNOTDETERMINED,integer,Number of influenza B detections (lineage not determined),Number of specimens in which influenza virus antigen was detected with any kind of method; to be reported for year and week when the sample was taken.
FluNet,VIW_FNT,INF_B,integer,Number of influenza B detections (all subtypes),Number of specimens in which influenza virus antigen was detected with any kind of method; to be reported for year and week when the sample was taken.
FluNet,VIW_FNT,INF_ALL,integer,Number of influenza detections (all types),Number of specimens in which influenza virus antigen was detected with any kind of method; to be reported for year and week when the sample was taken.
FluNet,VIW_FNT,INF_NEGATIVE,integer,Number of influenza negatives,Number of specimens which tested negative for influenza; to be reported for year and week when the sample was taken.
FluNet,VIW_FNT,ILI_ACTIVITY,integer,"ILI activity (1 - No report / 2 - No activity /
3 - Sporadic acitivity / 4 - Local activity / 5 -  Regional activity / 6 - Widespread activity)","ILI activity:
1 - No report /
2 - No activity: No influenza viral isolates or clinical signs of influenza activity /
3 - Sporadic acitivity: Isolated cases of ILI or laboratory/culture confirmed cases in a limited area /
4 - Local activity: Activity of ILI above baseline values with laboratory confirmed cases in a limited area /
5 -  Regional activity: Outbreaks of ILI or laboratory confirmed influenza in one or more regions with a population comprising less than 50% of the country's total population / 
6 - Widespread activity: Outbreaks of ILI or laboratory confirmed influenza in one or more regions with a population comprising 50% or more of the country's population"
FluNet,VIW_FNT,ADENO,integer,Number of Adeno virus detections,Number of respiratory virus detections in specimens tested primarily for influenza
FluNet,VIW_FNT,BOCA,integer,Number of Boca virus detections,Number of respiratory virus detections in specimens tested primarily for influenza
FluNet,VIW_FNT,HUMAN_CORONA,integer,Number of human corona virus detections (not SARS-CoV-2),Number of respiratory virus detections in specimens tested primarily for influenza
FluNet,VIW_FNT,METAPNEUMO,integer,Number of Metapneumo virus detections,Number of respiratory virus detections in specimens tested primarily for influenza
FluNet,VIW_FNT,PARAINFLUENZA,integer,Number of Parainfluenza virus detections,Number of respiratory virus detections in specimens tested primarily for influenza
FluNet,VIW_FNT,RHINO,integer,Number of Rhino virus detections,Number of respiratory virus detections in specimens tested primarily for influenza
FluNet,VIW_FNT,RSV,integer,Number of Respiratory Syncytial Virus (RSV) detections,Number of respiratory virus detections in specimens tested primarily for influenza
FluNet,VIW_FNT,OTHERRESPVIRUS,integer,Number of other respiratory virus detections,Number of respiratory virus detections in specimens tested primarily for influenza
FluNet,VIW_FNT,OTHER_RESPVIRUS_DETAILS,string,List of other respiratory viruses detected (if any),
FluNet,VIW_FNT,LAB_RESULT_COMMENT,string,Laboratory result comments (if any),
FluNet,VIW_FNT,WCR_COMMENT,string,Weekly country report (WCR),Summary of influenza activity and other relevant information.
FluNet,VIW_FNT,RSV_PROCESSED,integer,Number of specimens processed for RSV with any kind of method,derived from the table DAT_FNT_EXT
FluNet,VIW_FNT,PSOURCE_SUBTYPE_INF,integer,Preferred source among the reported surveillance sites in the country for influenza subtype analysis,derived from the reference table REF_FNT_WEEKLYUPDATE_...
FluNet,VIW_FNT,PSOURCE_PPOS_INF,integer,Preferred source among the reported surveillance sites in the country for influenza percent positive analysis,derived from the reference table REF_FNT_WEEKLYUPDATE_...
FluNet,VIW_FNT,PSOURCE_RSV,integer,Preferred source among the reported surveillance sites in the country for RSV analysis,derived from the reference table REF_FNT_WEEKLYUPDATE_...
